date,average
2020-11-15,52079
2020-11-16,60669
2020-11-17,63154
2020-11-18,63022
2020-11-19,64161
2020-11-20,65056
2020-11-21,57509
2020-11-22,54754
2020-11-23,64073
2020-11-24,66672
2020-11-25,65706
2020-11-26,66079
2020-11-27,66570
2020-11-28,59944
2020-11-29,56791
2020-11-30,66673
2020-12-01,68394
2020-12-02,68666
2020-12-03,68806
2020-12-04,69206
2020-12-05,61583
2020-12-06,56715
2020-12-07,68450
2020-12-08,70146
2020-12-09,69922
2020-12-10,69853
2020-12-11,68459
2020-12-12,60582
2020-12-13,58966
2020-12-14,72171
2020-12-15,75053
2020-12-16,75550
2020-12-17,74770
2020-12-18,73619
2020-12-19,65573
2020-12-20,60819
2020-12-21,71909
2020-12-22,72618
2020-12-23,71784
2020-12-24,68593
2020-12-25,62820
2020-12-26,60260
2020-12-27,58097
2020-12-28,66443
2020-12-29,70464
2020-12-30,74377
2020-12-31,70862
2021-01-01,60342
2021-01-02,59621
2021-01-03,60492
2021-01-04,72561
2021-01-05,74978
2021-01-06,76108
2021-01-07,79534
2021-01-08,80150
2021-01-09,71119
2021-01-10,65845
2021-01-11,78304
2021-01-12,77805
2021-01-13,73737
2021-01-14,71662
2021-01-15,70983
2021-01-16,65253
2021-01-17,62058
2021-01-18,74874
2021-01-19,76224
2021-01-20,73927
2021-01-21,72842
2021-01-22,70708
2021-01-23,62636
2021-01-24,56942
2021-01-25,66009
2021-01-26,70427
2021-01-27,69050
2021-01-28,72827
2021-01-29,74755
2021-01-30,65534
2021-01-31,59083
2021-02-01,68609
2021-02-02,72583
2021-02-03,73199
2021-02-04,72603
2021-02-05,72062
2021-02-06,63105
2021-02-07,58108
2021-02-08,69244
2021-02-09,70488
2021-02-10,66851
2021-02-11,54498
2021-02-12,48742
2021-02-13,49731
2021-02-14,52690
2021-02-15,65088
2021-02-16,72169
2021-02-17,75882
2021-02-18,75433
2021-02-19,70849
2021-02-20,59859
2021-02-21,54782
2021-02-22,63408
2021-02-23,67707
2021-02-24,68329
2021-02-25,69999
2021-02-26,65799
2021-02-27,58223
2021-02-28,55401
2021-03-01,59755
2021-03-02,67602
2021-03-03,67700
