date,average
2023-10-29,50841
2023-10-30,59158
2023-10-31,61432
2023-11-01,62443
2023-11-02,62089
2023-11-03,62032
2023-11-04,56849
2023-11-05,53770
2023-11-06,62160
2023-11-07,61894
2023-11-08,62020
2023-11-09,63618
2023-11-10,63329
2023-11-11,58665
2023-11-12,55475
2023-11-13,65308
2023-11-14,67337
2023-11-15,66910
2023-11-16,70306
2023-11-17,69227
2023-11-18,62290
2023-11-19,56721
2023-11-20,65459
2023-11-21,66931
2023-11-22,66437
2023-11-23,65411
2023-11-24,68445
2023-11-25,61135
2023-11-26,57822
2023-11-27,68950
2023-11-28,69722
2023-11-29,72137
2023-11-30,72805
2023-12-01,72940
2023-12-02,64233
2023-12-03,58064
2023-12-04,69692
2023-12-05,70310
2023-12-06,71491
2023-12-07,69343
2023-12-08,66932
2023-12-09,59137
2023-12-10,55508
2023-12-11,66892
2023-12-12,69240
2023-12-13,68070
2023-12-14,69821
2023-12-15,69913
2023-12-16,65387
2023-12-17,63833
2023-12-18,77190
2023-12-19,78160
2023-12-20,79374
2023-12-21,81239
2023-12-22,80749
2023-12-23,69814
2023-12-24,63499
2023-12-25,64848
2023-12-26,73420
2023-12-27,72653
2023-12-28,72173
2023-12-29,69351
2023-12-30,62973
2023-12-31,59185
